path	new_title	new_description
html/about/index.html	About Chris Woods, FNP-C — Founder of NPCWoods	Meet Chris Woods, the Licensed Nurse Practitioner behind NPCWoods. $59 text-based telemedicine visits across 11 states. No paperwork, no waiting room.
landing-pages/faq/index.html	NPCWoods FAQ — How $59 Text-Based Visits Work	Answers about NPCWoods: how text-based visits work, pricing ($59 flat), conditions treated, prescriptions, state licensing — from a Licensed Nurse Practitioner.
landing-pages/glp1-weight-loss/index.html	GLP-1 Weight Loss Online — $59 Consult | NPCWoods	Oral GLP-1 weight loss from a Licensed Nurse Practitioner. $59 consult, medication from $149/month. No needles, no memberships, no waiting room. Text to start.
landing-pages/learn/allergic-reaction/index.html	Allergic Reaction & Hives Guide: What to Do | NPCWoods	Allergic reaction and hives guide from a Licensed Nurse Practitioner — severity levels, medications, red flags, home care, and when to seek emergency care.
landing-pages/learn/cold-sores/index.html	Cold Sores Guide: Treatment & Prevention | NPCWoods	Cold sores (HSV-1) guide from a Licensed Nurse Practitioner — symptoms, treatment with valacyclovir, stages, red flags, and prevention that works.
landing-pages/learn/ingrown-toenail/index.html	Ingrown Toenail Guide: Antibiotics & Home Care | NPCWoods	Ingrown toenail guide from a Licensed Nurse Practitioner — when it's infected, antibiotics, home care, red flags, and when to see a podiatrist.
landing-pages/uti-treatment/albuquerque-nm/index.html	UTI Treatment in Albuquerque, NM — $59 Online | NPCWoods	UTI symptoms in Albuquerque? Text a Licensed Nurse Practitioner — antibiotics sent to your ABQ pharmacy same day. $59 flat, no waiting room.
landing-pages/medications/augmentin/index.html	Augmentin (Amox-Clav): Patient Guide | NPCWoods	Augmentin patient guide from Chris Woods, FNP-C — what it treats, how to take it, side effects, and when to call your provider.
landing-pages/medications/azithromycin/index.html	Azithromycin (Z-Pack): Patient Guide | NPCWoods	Azithromycin (Z-Pack) patient guide from Chris Woods, FNP-C — what it treats, how to take it, side effects, and when to call your provider.
landing-pages/medications/benzonatate/index.html	Benzonatate (Tessalon Perles): Patient Guide | NPCWoods	Benzonatate guide from Chris Woods, FNP-C — how it stops coughs by numbing airways, how to take it safely, side effects, and critical warnings.
landing-pages/medications/clindamycin/index.html	Clindamycin (Cleocin): Patient Guide | NPCWoods	Clindamycin guide from Chris Woods, FNP-C — what it treats, how to take it, side effects including C. difficile risk, and when to call your provider.
landing-pages/medications/doxycycline/index.html	Doxycycline: Patient Guide | NPCWoods	Doxycycline guide from Chris Woods, FNP-C — what it treats, how to take it, side effects, sun sensitivity, and when to call your provider.
landing-pages/medications/erythromycin-ophthalmic/index.html	Erythromycin Eye Ointment: Patient Guide | NPCWoods	Erythromycin eye ointment (Ilotycin) guide from Chris Woods, FNP-C — what it treats, how to apply it, side effects, and when to call your provider.
landing-pages/medications/fluconazole/index.html	Fluconazole (Diflucan): Patient Guide | NPCWoods	Fluconazole guide from Chris Woods, FNP-C — the antifungal that treats yeast infections. How to take it, side effects, and when to call your provider.
landing-pages/medications/metronidazole/index.html	Metronidazole (Flagyl): Patient Guide | NPCWoods	Metronidazole (Flagyl) guide from Chris Woods, FNP-C — what it treats, how to take it, side effects, and why alcohol is a hard no.
landing-pages/medications/mupirocin/index.html	Mupirocin (Bactroban): Patient Guide | NPCWoods	Mupirocin (Bactroban) guide from Chris Woods, FNP-C — what it treats, how to apply it, side effects, and when to call your provider.
landing-pages/medications/nitrofurantoin/index.html	Nitrofurantoin (Macrobid): Patient Guide | NPCWoods	Nitrofurantoin (Macrobid, Macrodantin) guide from Chris Woods, FNP-C — a UTI antibiotic. How to take it, side effects, warnings, and when to call.
landing-pages/medications/ondansetron/index.html	Ondansetron (Zofran): Patient Guide | NPCWoods	Ondansetron (Zofran) guide from Chris Woods, FNP-C — what it treats, how to take it, side effects, and when to call your provider.
landing-pages/medications/oseltamivir/index.html	Oseltamivir (Tamiflu): Patient Guide | NPCWoods	Oseltamivir (Tamiflu) guide from Chris Woods, FNP-C — how it fights the flu virus, dosing, side effects, and when to seek emergency care.
landing-pages/medications/penicillin/index.html	Penicillin V (Pen VK): Patient Guide | NPCWoods	Penicillin V (Pen VK) guide from Chris Woods, FNP-C — what it treats, how to take it, side effects, and when to call your provider.
landing-pages/medications/polytrim/index.html	Polytrim Eye Drops: Patient Guide | NPCWoods	Polytrim eye drops guide from Chris Woods, FNP-C — what it treats, how to use them, side effects, and when to call your provider.
landing-pages/medications/tmp-smx/index.html	Bactrim (TMP-SMX): Patient Guide | NPCWoods	Bactrim (sulfamethoxazole-trimethoprim) guide from Chris Woods, FNP-C — what it treats, how to take it, side effects, and when to call your provider.
landing-pages/medications/valacyclovir/index.html	Valacyclovir (Valtrex): Patient Guide | NPCWoods	Valacyclovir guide from Chris Woods, FNP-C — treats cold sores and herpes. How it works, dosing, side effects, and when to call your provider.
