selector	line_range	verdict	evidence	bytes	inside_media
:root	41-75	KEEP	:root custom properties used by v2	800	
*, *::before, *::after	80-80	KEEP	tag-only selector — base styling, retain	73	
html	82-86	KEEP	base element reset (used by all markup)	108	
body	88-98	KEEP	base element reset (used by all markup)	323	
img	100-100	KEEP	base element reset (used by all markup)	40	
a	101-101	KEEP	base element reset (used by all markup)	44	
:focus-visible	104-108	KEEP	page-wide focus/scrollbar/selection styles	98	
:focus:not(:focus-visible)	109-109	KEEP	page-wide focus/scrollbar/selection styles	45	
.skip-link	112-123	KEEP	accessibility skip-link is rendered outside .home-v2	228	
.skip-link:focus	124-124	KEEP	accessibility skip-link is rendered outside .home-v2	28	
html	128-128	KEEP	base element reset (used by all markup)	31	@media (prefers-reduced-motion: reduce)
.reveal	129-129	DELETE	JS targets ['reveal'] but class has zero markup anywhere -> JS+CSS both dead	91	@media (prefers-reduced-motion: reduce)
*	130-130	KEEP	base element reset (used by all markup)	84	@media (prefers-reduced-motion: reduce)
::-webkit-scrollbar	134-134	KEEP	page-wide focus/scrollbar/selection styles	35	
::-webkit-scrollbar-track	135-135	KEEP	page-wide focus/scrollbar/selection styles	59	
::-webkit-scrollbar-thumb	136-136	KEEP	page-wide focus/scrollbar/selection styles	70	
::-webkit-scrollbar-thumb:hover	137-137	KEEP	page-wide focus/scrollbar/selection styles	56	
.container	146-150	DELETE	no markup or JS reference anywhere in file	82	
section	152-154	KEEP	base element reset (used by all markup)	58	
h1, h2, h3	159-164	KEEP	tag-only selector — base styling, retain	128	
h1	166-171	KEEP	base element reset (used by all markup)	104	
h2	173-176	KEEP	base element reset (used by all markup)	77	
h3	178-181	KEEP	base element reset (used by all markup)	55	
.overline	183-191	DELETE	no markup or JS reference anywhere in file	181	
.section-header	193-197	DELETE	no markup or JS reference; v1-only legacy class ['section-header']	84	
.section-header p	199-203	DELETE	no markup or JS reference; v1-only legacy class ['section-header']	98	
.btn-primary	208-222	KEEP	production system: classes=btn-primary	374	
.btn-primary:hover	223-227	KEEP	production system: classes=btn-primary	133	
.btn-secondary	229-243	DELETE	no markup or JS reference; v1-only legacy class ['btn-secondary']	371	
